trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
711,False,"{'a': 0.02, 'e': 0.08273836737684159}",25,12,21.589085443786672,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.02, 'e': 0.10265191758581245}",25,18,14.16920891067716,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
713,False,"{'a': 0.02, 'e': 0.12252440839642297}",25,14,19.870636116505757,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
714,False,"{'a': 0.02, 'e': 0.14234789107731366}",20,8,8.490966808487132,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
715,False,"{'a': 0.02, 'e': 0.16211443649971827}",25,20,10.084934294854374,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.02, 'e': 0.18181613830901996}",20,6,22.22185913565151,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.02, 'e': 0.2014451160871809}",25,1,35.411201867383355,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
718,False,"{'a': 0.02, 'e': 0.22099351850480609}",20,8,9.511399039344143,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
719,False,"{'a': 0.02, 'e': 0.240453526461572}",20,13,-1.726529311502976,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
720,False,"{'a': 0.02, 'e': 0.25981735621375585}",20,11,7.65350982115101,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.02, 'e': 0.2790772624876394}",20,16,6.3066595516791315,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
722,False,"{'a': 0.02, 'e': 0.29822554157750847}",20,13,16.72599974919156,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.02, 'e': 0.3172545344270358}",25,14,5.720843769841194,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
